Well_ID,Formation,GR_API,NPHI_frac,RHOB_gcc,RT_ohmm,SW_frac
Well_C,Shale_Cap,115.43056808173762,0.3914516556271232,2.27798710873172,2.126344579302568,0.9717075920116797
Well_D,Shale_Cap,127.39706946330215,0.3811926073984035,2.2370612644458885,4.836242077803666,0.9632259860869912
Well_A,Shale_Cap,127.16154576022186,0.3927034360336394,2.2709910543063865,2.3204593855387006,0.9663261652878685
Well_C,Basement,138.7885887306366,0.06317394065634326,2.6659279881407723,1257.0864560664702,0.038614661711791495
Well_C,Reservoir_2,40.67981901582625,0.23395821566925296,2.426971639927711,782.0452902938669,0.16630567848296532
Well_D,Basement,139.09668499567408,0.055228354880355,2.6427889998818426,1442.8369979507884,0.029891742987188337
Well_A,Reservoir_2,40.637715850503554,0.23872647339348066,2.440760069563364,425.7574989924469,0.22162738909175497
Well_A,Basement,142.72018796030957,0.047426234625766554,2.6099424777836724,1631.4452548675424,0.04363014418597848
Well_C,Basement,139.10088122620377,0.06573986763290032,2.62322703010993,1738.884607362452,0.0024065514847489487
Well_B,Transition,66.28500095832143,0.30448903637119945,2.381412949078365,34.22877051001485,0.5815360724581191
Well_C,Basement,148.47208500058778,0.04961491530499293,2.6548211810017754,1099.1450175115465,0.03554101971560173
Well_C,Reservoir_1,47.30195962492003,0.2395308069945179,2.437601827082949,350.60938582797303,0.20578812221527118
Well_C,Transition,81.95224149026191,0.30521347531647813,2.3334908453846377,53.941618479540665,0.5053367733793286
Well_C,Basement,137.97025979237168,0.04974445929008555,2.6951818705777812,1072.5079669628594,0.05224499407635068
Well_D,Shale_Cap,126.17358968518676,0.3230291475873985,2.272975314007442,2.654095490340091,0.9008405997647289
Well_A,Reservoir_1,31.5617173273314,0.18410637048558187,2.4332165357475706,361.10301267851617,0.20570483928620198
Well_D,Reservoir_1,41.7184765267249,0.21954081654446242,2.4115364378212054,247.62082587213445,0.28946600390591315
Well_D,Reservoir_1,34.30204665486858,0.17886836202680498,2.401437696780682,320.4576965170478,0.2748132660262535
Well_D,Transition,75.21078292473713,0.2930148459136314,2.340350948463479,49.23430661186029,0.5927938214130074
Well_C,Basement,154.46048790136504,0.06030283454031843,2.6671636747707956,1035.2570890330915,0.006715177163863673
Well_B,Basement,141.57039244351563,0.04962777763490159,2.6818288863091095,885.4091866016587,0.007326594840601608
Well_A,Shale_Cap,120.4155670864584,0.3946528015443116,2.2483856683978285,3.264624419907002,0.915940525129491
Well_B,Shale_Cap,127.33062139761985,0.3869297695179599,2.269960202197193,3.9553863210276807,0.9366923534809936
Well_D,Reservoir_1,24.622467730837865,0.23216365633475033,2.3892018814574896,212.48189755196657,0.2708118919989901
Well_D,Shale_Cap,115.00984831443355,0.4182806270773357,2.246186351984733,4.7705038089046585,0.9589549876542544
Well_B,Transition,79.73946298543778,0.3030083781028715,2.360948830073987,36.39546626831181,0.5664986136281699
Well_B,Basement,143.2065942802898,0.060506543960076126,2.6931657779887397,1044.1076371579454,0.03953312821395943
Well_B,Reservoir_1,49.12218183336228,0.2426686306460219,2.3870730921396266,187.7141878800776,0.26894143655236435
Well_D,Shale_Cap,119.48689322725606,0.3865752482060696,2.2564271443090056,4.268065043946671,0.9459983972026724
Well_D,Transition,81.37536603388227,0.295116867294187,2.378922615048651,30.10022697783983,0.5734630739789018
Well_A,Transition,82.77920055879886,0.31402345484621796,2.3410730948992002,48.2598659984758,0.4968292677518852
Well_A,Shale_Cap,131.00565450649296,0.37653856351432263,2.2503115809516294,3.298343319601081,0.8976399995332817
Well_D,Basement,151.56703037934983,0.041530386516816724,2.630258229516311,1063.7897177868947,0.022395107497760403
Well_B,Shale_Cap,102.77287909117028,0.4128403032027274,2.2701963417868525,4.4779613840384584,0.9102542256940744
Well_B,Reservoir_1,47.89059292194956,0.20350337232982754,2.3600118857025287,166.66693710967328,0.23094973931513876
Well_A,Shale_Cap,138.32754058072592,0.35220855066472806,2.2170920250608623,4.32068947690933,0.9193683310744942
Well_D,Transition,89.07418254808414,0.31127818240104715,2.3678426302499584,53.354376750332584,0.4825525615746906
Well_A,Shale_Cap,126.82732447024246,0.3951785717957353,2.2556238284793877,2.973929186305197,0.9705144908235198
Well_A,Basement,137.47621246679995,0.047193249231332265,2.6092112955741387,1106.3856117657306,0.018437397895577193
Well_C,Reservoir_2,31.50830186602625,0.23359788302306958,2.467840045726892,484.99308055268193,0.21324005399731022
Well_C,Shale_Cap,112.0829749074373,0.3988154237597643,2.230350252129234,2.7245973981387213,0.9385453210154477
Well_C,Basement,140.65220110001786,0.0510537550614596,2.619979235152454,1488.1416355501894,0.00641261538568463
Well_B,Basement,132.44203759880997,0.05440474737960399,2.6594108660321996,1575.3932947976423,0.033013592529375704
Well_D,Transition,82.41991963533718,0.30250449005295815,2.3371178337662424,53.20192366164631,0.5642256548204864
Well_D,Basement,142.2931604219542,0.05040591691203883,2.6389402493657976,1399.8828899658924,0.02466170818840228
Well_D,Basement,138.02259449469432,0.037561367646087154,2.639212844066123,1552.4729637194755,0.016488362132888165
Well_D,Basement,140.23030193024783,0.06247742072673734,2.639795281272684,1411.4733922089158,0.027106060724233747
